ChangesetId,CodeChurn
67638,583
67638,583
67644,127
67644,127
67651,2
67651,2
67655,1
67659,1
67671,148
67671,148
67682,16
67682,16
67685,22
67685,22
67691,2
67691,2
67696,118
67696,118
67696,118
67698,2
67698,2
67700,173
67700,173
67714,404
67714,404
67717,154
67727,1184
67734,189
67734,189
67758,436
67758,436
67759,380
67789,3
67789,3
67791,1269
67791,1269
67791,1269
67791,1269
67791,1269
67791,1269
67791,1269
67795,9
67797,11071
67797,11071
67799,96
67799,96
67799,96
67801,141
67806,22
67806,22
67810,410
67810,410
67812,1
67812,1
67814,14
67814,14
67850,13
67850,13
67859,6
67875,66
67875,66
67877,197
67877,197
67891,381
67894,52
67896,104
67896,104
67896,104
67897,184
67897,184
67900,9
67900,9
67924,11
67924,11
67941,525
67942,3
67944,7
67947,211
67948,1
67951,1014
67952,1
67956,23
67957,696
67958,168
67959,99
67970,776
67970,776
67970,776
67975,237
67975,237
67977,110
67977,110
67980,1
67980,1
67986,35
67995,93
67995,93
67997,118
67997,118
67998,1088
67998,1088
68001,241
68001,241
68005,182
68024,27424
68027,364
68027,364
68029,2376
68029,2376
68029,2376
68030,1
68030,1
68031,457
68031,457
68052,1
68052,1
68057,1
68057,1
68059,1
68063,1
68063,1
68065,12
68071,427
68071,427
68071,427
68071,427
68079,2
68079,2
68081,1
68081,1
68086,109
68086,109
68090,4
68090,4
68091,1
68095,109
68095,109
68096,189
68096,189
68098,46
68099,170488
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68100,210
68106,400
68106,400
68124,960
68124,960
68126,1034
68126,1034
68126,1034
68126,1034
68141,394
68141,394
68145,4526
68145,4526
68146,1
68146,1
68155,950
68155,950
68161,39
68161,39
68162,1
68162,1
68166,28
68166,28
68166,28
68166,28
68166,28
68166,28
68166,28
68166,28
68166,28
68166,28
68166,28
68166,28
68166,28
68166,28
68166,28
68166,28
68166,28
68169,1574
68178,111
68178,111
68185,59
68185,59
68194,260
68194,260
68196,169
68200,9
68200,9
68202,20
68202,20
68214,1
68217,294
68239,12
68239,12
68239,12
68245,83
68247,3
68248,1
68248,1
68250,2
68250,2
68250,2
68250,2
68250,2
68250,2
68250,2
68250,2
68250,2
68250,2
68250,2
68250,2
68250,2
68250,2
68250,2
68250,2
68250,2
68251,128
68251,128
68257,316
68257,316
68259,1
68259,1
68260,8
68260,8
68264,74
68264,74
68268,6
68271,2
68271,2
68271,2
68275,2
68283,90
68283,90
68287,602
68287,602
68288,3
68289,513
68289,513
68295,387
68295,387
68299,401
68299,401
68311,840
68312,33
68312,33
68325,69
68326,49
68326,49
68329,593
68329,593
68329,593
68330,5
68338,201
68338,201
68339,2
68339,2
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68342,619
68345,11
68347,1
68347,1
68354,142
68354,142
68354,142
68359,534
68359,534
68375,164
68375,164
68376,5
68376,5
68379,376
68380,1
68380,1
68381,241
68382,104
68383,76
68383,76
68390,11
68390,11
68391,5
68391,5
68391,5
68391,5
68391,5
68391,5
68391,5
68391,5
68391,5
68391,5
68391,5
68395,202
68395,202
68397,396
68397,396
68402,2221
68402,2221
68403,3
68403,3
68426,7
68426,7
68427,22
68427,22
68427,22
68427,22
68427,22
68427,22
68427,22
68427,22
68427,22
68436,2
68436,2
68463,14
68466,314
68467,78
68467,78
68471,1
68471,1
68475,13
68475,13
68475,13
68475,13
68475,13
68475,13
68475,13
68496,1290
68496,1290
68496,1290
68501,34
68501,34
68504,197
68504,197
68507,1
68507,1
68509,2
68509,2
68512,1
68512,1
68514,5
68514,5
68516,60
68521,1
68521,1
68526,1
68526,1
68532,505
68532,505
68544,463
68544,463
68544,463
68544,463
