Component,SubComponent,Team,Type,CO,Stable,Maturity,ProjectType,Segment,MarketingNames,DeploymentRestrictions,Parallelizable,Folder,TFSAreaPath,ToolCode,Maturity,Parallelizable,MarketingNames,Segment,ProjectType
Undefined,,Undefined,,,,,,,,,,
Shared utilities,,T-Primer,,LI Ziming,,,,,,,,
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\GenericComponents\SurveyUnitConverter
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Managers\DnIInits
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Managers\SurveyMgr
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Ensembles\DnMSession
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\Ensembles\Survey
DnI_Survey,Survey,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\UIServers
Equipment,,Workflow,,Chenhui Zhang,,,,,,,,
Equipment,EquipmentBase,Workflow,,Chenhui Zhang,,,,,,,,
Equipment,EquipmentBase,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\BaseImpl
Equipment,EquipmentBase,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\Include
Equipment,EquipmentBase,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\Interface
Equipment,EquipmentBase,Workflow,,Chenhui Zhang,,,,,,,,,HzAPI\BaseImpl\GTest\BaseImpl_GTest
Equipment,EquipmentBase,Workflow,,Chenhui Zhang,,,,,,,,,HzFramework\Mock\ToolStringHandler
Equipment,ToolStringHandler,Workflow,,Chenhui Zhang,,,,,,,,
Equipment,ToolStringHandler,Workflow,,Chenhui Zhang,,,,,,,,,HzFramework\Common\ToolString
Equipment,Equipment and RunSetup,Workflow,,Chenhui Zhang,,,,,,,,
Equipment,Equipment and RunSetup,Workflow,,Chenhui Zhang,,,,,,,,,HzProducts\UIServers
Equipment,EquipmentApp,Workflow,,Chenhui Zhang,true,Obsolete,,,,,,
Equipment,EquipmentApp,Workflow,,Chenhui Zhang,true,Obsolete,,,,,,,HzSysApps\Ensembles\AuxiliaryEquipment
Equipment,EquipmentUtility,Workflow,,Chenhui Zhang,true,Obsolete,,,,,,
Equipment,EquipmentUtility,Workflow,,Chenhui Zhang,true,Obsolete,,,,,,,HzTestTools\Tools\EquipmentTester
Equipment,EquipmentUtility,Workflow,,Chenhui Zhang,true,Obsolete,,,,,,,HzTestTools\Tools\MeasurePointLocator
DnM RM Processing,,Workflow,,Felix Rao,,,,,,,,
DnM RM Processing,,Workflow,,Felix Rao,,,,,,,,,HzAPI\BaseImpl
DnM RM Processing,,Workflow,,Felix Rao,,,,,,,,,HzAPI\BaseImpl\GTest\BaseImpl_GTest
DnM RM Processing,,Workflow,,Felix Rao,,,,,,,,,HzAPI\Include
DnM RM Processing,,Workflow,,Felix Rao,,,,,,,,,HzAPI\Interface
DnM RM Processing,,Workflow,,Felix Rao,,,,,,,,,HzAPI\Mock
DnM RM Processing,,Workflow,,Felix Rao,,,,,,,,,HzFramework\Acquisition\Samples\TestTFFReader
DnM RM Processing,,Workflow,,Felix Rao,,,,,,,,,HzFramework\Acquisition\TimeFrameFile
DnM RM Processing,,Workflow,,Felix Rao,,,,,,,,,HzProducts\Editors\RecordedMode
DnM RM Processing,,Workflow,,Felix Rao,,,,,,,,,HzFramework\Acquisition\AutoTest\Acquisition_AutoTest
DnM RM Processing,,Workflow,,Felix Rao,,,,,,,,,HzFramework\Execution\FrameworkTasks\AcqTasks
DnM RM Processing,,Workflow,,Felix Rao,,,,,,,,,HzFramework\Acquisition\GTest
WL Calibration,,Workflow,,Xu Dawei,,,,,,,,
WL Calibration,,Workflow,,Xu Dawei,,,,,,,,,hzAPI
WL Calibration,,Workflow,,Xu Dawei,,,,,,,,,hzAPI\Interface
WL Calibration,,Workflow,,Xu Dawei,,,,,,,,,HzFramework\DataStore\Clients\CalibrationPackage
WL Calibration,,Workflow,,Xu Dawei,,,,,,,,,HzFramework\DataStore\Clients\CalibrationCollector
WL Calibration,,Workflow,,Xu Dawei,,,,,,,,,HzProducts\Managers\CalibrationManager
Coiled Tubing,,Workflow,,Xu Dawei,,,,,,,,
Coiled Tubing,,Workflow,,Xu Dawei,,,,,,,,,hzAPI
Coiled Tubing,,Workflow,,Xu Dawei,,,,,,,,,HzSysApps\Digital\ACTS
Tasking,,Workflow,,Xu Dawei,,,,,,,,
Tasking,,Workflow,,Xu Dawei,,,,,,,,,hzAPI
Tasking,,Workflow,,Xu Dawei,,,,,,,,,hzAPI\Interface
Tasking,,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Execution\FrameworkTasks\AcqTasks
Tasking,,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Execution\TaskRunManagers
Tasking,,Workflow,,Xu Dawei,,,,,,,,,HzProducts\controls\GenericTaskUIP
Tasking,,Workflow,,Xu Dawei,,,,,,,,,HzProducts\controls\WorkflowUIP\SlbHzWorkflowUI
Tasking,,Workflow,,Xu Dawei,,,,,,,,,HzProducts\GenericComponents\TaskList\UI
Tasking,,Workflow,,Xu Dawei,,,,,,,,,HzProducts\Tasks
Simulation - Application Test,,Workflow,,Xu Dawei,,,,,,,,
Simulation - Application Test,,Workflow,,Xu Dawei,,,,,,,,,hzAPI
Simulation - Application Test,,Workflow,,Xu Dawei,,,,,,,,,hzAPI\BaseImpl\gtest
Simulation - Application Test,,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Acquisition\Samples
Simulation - Application Test,,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Acquisition\SimGeoModels
Simulation - Application Test,,Workflow,,Xu Dawei,,,,,,,,,HzProductsAPI\NewSimModuleUIImpl
Simulation - Application Test,,Workflow,,Xu Dawei,,,,,,,,,HzProducts\Tools\WL_Simulator
APIBaseImpl,,Workflow,,Xu Dawei,,,,,,,,
APIBaseImpl,,Workflow,,Xu Dawei,,,,,,,,,hzAPI
WL BaseImpl,,Workflow,,Xu Dawei,,,,,,,,
WL BaseImpl,,Workflow,,Xu Dawei,,,,,,,,,HzAPI\BaseImpl\AutoTest2\BaseImpl2_AutoTest
WL BaseImpl,,Workflow,,Xu Dawei,,,,,,,,,HzAPI\BaseImpl\GTest\BaseImpl_GTest
WL BaseImpl,,Workflow,,Xu Dawei,,,,,,,,,HzAPI\Include
WL BaseImpl,,Workflow,,Xu Dawei,,,,,,,,,HzAPI\BaseImpl
FrontEndService,,Workflow,,Wang Zhen,,,,,,,,
FrontEndService,,Workflow,,Wang Zhen,,,,,,,,,HzAPI
FrontEndService,,Workflow,,Wang Zhen,,,,,,,,,HzSysApps\Ensembles\WLSurface
FrontEndService,,Workflow,,Wang Zhen,,,,,,,,,HzWafe\FrontEnd
FrontEndService,,Workflow,,Wang Zhen,,,,,,,,,HzFramework\Utilities\CatchUpProgressForm
Tool Control,,Workflow,,Xu Dawei,,,,,,,,
Tool Control,,Workflow,,Xu Dawei,,,,,,,,,hzAPI
Tool Control,,Workflow,,Xu Dawei,,,,,,,,,HzFramework\Acquisition\FwkToolControlModules
TnD,,Workflow,,Xu Dawei,,,,,,,,
TnD,,Workflow,,Xu Dawei,,,,,,,,,hzAPI
TnD,,Workflow,,Xu Dawei,,,,,,,,,HzProducts\Managers\TnDTestResultUIP
Creep Computation,,Workflow,,Zhang Jie,true,Obsolete,,,,,,
Creep Computation,,Workflow,,Zhang Jie,true,Obsolete,,,,,,,hzAPI
Pass Manager,,Workflow,,Wang Qing,,,,,,,,
Pass Manager,,Workflow,,Wang Qing,,,,,,,,,hzAPI
Pass Manager,,Workflow,,Wang Qing,,,,,,,,,HzProducts\GenericComponents\PassPlanSupport
Pass Manager,,Workflow,,Wang Qing,,,,,,,,,HzProducts\Managers\PassManager\PassManagerUI
Computation,,T-Primer,,ZHU Yu,false,,,,,,,
Computation,,T-Primer,,ZHU Yu,false,,,,,,,,HzAPI\BaseImpl
Computation,,T-Primer,,ZHU Yu,false,,,,,,,,HzAPI\BaseImpl\GTest\BaseImpl_GTest
Computation,,T-Primer,,ZHU Yu,false,,,,,,,,HzAPI\Include
Computation,,T-Primer,,ZHU Yu,false,,,,,,,,HzAPI\Interface
Computation,,T-Primer,,ZHU Yu,false,,,,,,,,HzAPI\Mock
Computation,,T-Primer,,ZHU Yu,false,,,,,,,,HzFramework\Computation
Computation,,T-Primer,,ZHU Yu,false,,,,,,,,HzFramework\Mock\Computation
Run_Well setup,,Workflow,,Chenhui Zhang,,,,,,,,
Run_Well setup,,Workflow,,Chenhui Zhang,,,,,,,,,hzapi\interface
