Component,SubComponent,Team,Type,CO,Stable,Maturity,ProjectType,Segment,MarketingNames,DeploymentRestrictions,Parallelizable,Folder,TFSAreaPath,ToolCode,Maturity,Parallelizable,MarketingNames,Segment,ProjectType
,,,,,,,,,,,,,HzProducts\Controls\WLDataLoadUIP
,,,,,,,,,,,,,HzProducts\Editors\GraphicPassManager
,,,,,,,,,,,,,HzProducts\Managers\PassManager\PassManagerUI
,,,,,,,,,,,,,HzProducts\Managers\PassManager\PassManagerUI\PassManager_MsTest
,,,,,,,,,,,,,HzProducts\UIServers
,,,,,,,,,,,,,HzSysApps\Ensembles\WLSurface
,,,,,,,,,,,,,HzSysApps\Ensembles\UIs\Wireline
,,,,,,,,,,,,,HzSysApps\Ensembles\UIs\WirelineRM
Event Dispatcher,,T-Primer,,LI Ziming,true,,,,,,,
,,,,,,,,,,,,,HzAPI\Interface\Events
,,,,,,,,,,,,,HzFramework\Common\EventDispatcher
,,,,,,,,,,,,,HzFramework\Common\EventHostPublisher
,,,,,,,,,,,,,HzFramework\Common\EventHostSubscriber
RigTimeZone,,Workflow,,Li Rao,,,,,,,,
,,,,,,,,,,,,,HzAPI\RigTimeZoneUtility
,,,,,,,,,,,,,HzFramework\Common\RigTimeZone
System Monitor,,T-Primer,,ZHANG Peng,false,,,,,,,
,,,,,,,,,,,,,HzAPI\SystemMonitorInterfaces
,,,,,,,,,,,,,HzFramework\Utilities\RuntimeInformationCollect
,,,,,,,,,,,,,HzFramework\Utilities\SystemMonitor
Test and scripting,,T-Primer,,KANG Lei,,,,,,,,
,MaxShell,,,KANG Lei,false,,,,,,,
,HzAutoTestUtil,,,ZHU Yu,,,,,,,,
,CFT,,,LI Ziming,true,,,,,,,
,Core shield,,,ZHANG Yanhua,false,,,,,,,
DTS,,SKK,ApplicationFamily,Naoki Watauchi,,,Sustaining,Wireline-ES,,,,
,,,,,,,,,,,,,Maxwell\Application\SKK\DTC
,,,,,,,,,,,,,,DTC-A,Commercial,TRUE,,,
,,,,,,,,,,,,,,DTC-H,Commercial,TRUE,,,
