"Project Name","Checkpoint Name","Created On","Lines","Statements","Percent Comment Lines","Percent Documentation Lines","Classes, Interfaces, Structs","Methods per Class","Calls per Method","Statements per Method","Line Number of Most Complex Method*","Name of Most Complex Method*","Maximum Complexity*","Line Number of Deepest Block","Maximum Block Depth","Average Block Depth","Average Complexity*","Statements at block level 0","Statements at block level 1","Statements at block level 2","Statements at block level 3","Statements at block level 4","Statements at block level 5","Statements at block level 6","Statements at block level 7","Statements at block level 8","Statements at block level 9","EnCodedFileName"
"temp_horizon_csharp","source","12 Aug 2016","229","77","16.6","18.8","1","6.00","7.33","10.50","52","AddSensorAcqParamPanel.SetAddSensorAcqParam(SibAcqParam param, bool bReadOnly)","3","61","3","2.03","1.67","5","9","42","21","0","0","0","0","0","0","9a8e232d513ee4e0685c7c739278504a7cc7d95c149bb3524c98739dd83f417d"
"temp_horizon_csharp","source","12 Aug 2016","160","96","21.9","6.9","1","2.00","8.50","41.50","14","AddSensorAcqParamPanel.Dispose(bool disposing)","3","18","3","1.85","2.00","2","11","82","1","0","0","0","0","0","0","a1fc84c1fd7d001afe38c54b880f21bdb68b7955d1b6bb10fd3e0090534a1ec9"
"temp_horizon_csharp","source","12 Aug 2016","379","142","9.5","10.8","1","10.00","3.30","12.20","36","DownholeGainGrid.InitializeGainGrid()","14","329","5","2.27","4.30","9","11","72","34","15","1","0","0","0","0","60e4206c4ebed5435ca7721c0cd8eae92783ec38627168595da74276275b3a7e"
"temp_horizon_csharp","source","12 Aug 2016","187","116","17.1","5.9","1","2.00","11.50","52.50","14","DownholeGainGrid.Dispose(bool disposing)","3","18","3","1.90","2.00","2","9","104","1","0","0","0","0","0","0","ea3a3b3c2293ce4b6eaf05d89fa75b746fcb48768cd469a282f36599d66048f3"
"temp_horizon_csharp","source","12 Aug 2016","550","186","14.9","14.4","1","20.00","3.30","7.65","66","FixedPositionPanel.UpdateDepthReferenceComBox()","12","88","5","2.28","2.60","7","25","81","59","10","4","0","0","0","0","0b9037b9631cdea1db373c9c92754ed79556409c3c19883c54dc74501673c474"
"temp_horizon_csharp","source","12 Aug 2016","230","144","29.6","1.7","1","1.00","23.00","127.00","12","FixedPositionPanel.InitializeComponent()","1","14","2","1.87","1.00","2","15","127","0","0","0","0","0","0","0","ccd1aa511c809fc380ccc7aaad83afd07e6a57899fcc6642052eff84eb8b5a7f"
"temp_horizon_csharp","source","12 Aug 2016","883","373","8.8","10.6","1","39.00","3.26","8.08","643","NavSettingControl.UpdateDepthReferenceComBox()","12","665","5","2.38","3.26","11","46","146","136","30","4","0","0","0","0","09e7115bfc994274e7d88fead1278c510df352e59d66f208ea47fa19897882ff"
"temp_horizon_csharp","source","12 Aug 2016","212","135","22.6","5.2","1","2.00","13.00","59.00","14","NavSettingControl.Dispose(bool disposing)","3","18","3","1.87","2.00","2","15","117","1","0","0","0","0","0","0","cbe4d83d15e37cf0ad022d2fae6f7381a3a78ab957d0abd18335f545f2d61b87"
"temp_horizon_csharp","source","12 Aug 2016","85","22","4.7","16.5","1","2.00","1.50","3.00","64","ParamChangeConfirmDlg.ParamChangeConfirmDlg_MessageBoxClose(DialogResult result)","4","68","3","1.14","2.50","8","6","5","3","0","0","0","0","0","0","6b6e22a4c6cd022286260f54b182ffa5574aa68419d06cd1e7a1664506717d97"
"temp_horizon_csharp","source","12 Aug 2016","549","231","12.8","7.3","1","13.00","3.38","15.85","119","PropertyListControl.BindSurveyData(SurveyItemCollection surveys, PropertyController propCrl )","11","157","6","2.95","4.15","11","14","57","80","36","29","4","0","0","0","4188135433f0d6682bb7348c1be426478c6552be6c13cd11fd3374967cff3ad3"
"temp_horizon_csharp","source","12 Aug 2016","306","211","15.4","3.6","1","2.00","29.00","99.00","14","PropertyListControl.Dispose(bool disposing)","3","18","3","1.93","2.00","2","11","197","1","0","0","0","0","0","0","c57932f25f6a75dc16de8636b2e8410d8bbbc0033530152eda0d751a66d2a0a4"
"temp_horizon_csharp","source","12 Aug 2016","35","10","11.4","8.6","1","3.00","0.33","1.00","11","SIBAddSensorsPanel.AddSensorsChecked.get()","1","21","3","1.40","1.00","3","2","3","2","0","0","0","0","0","0","60689040edef3895941a7990e2f54743e0084f7dd077c1b0fa02cfbaf8ce9ec4"
"temp_horizon_csharp","source","12 Aug 2016","64","25","15.6","17.2","1","2.00","2.50","9.50","14","SIBAddSensorsPanel.Dispose(bool disposing)","3","18","3","1.72","2.00","2","4","18","1","0","0","0","0","0","0","29c9fc97b76b591b13f9a2e8859eebb753dc7e4814027413137c7f94ab775043"
"temp_horizon_csharp","source","12 Aug 2016","1101","407","9.9","14.2","1","31.00","5.16","11.39","281","SIBConfigControl.GridSensorConfigCurrentCellChanged(object sender, EventArgs e)","13","235","6","2.57","4.26","11","41","152","128","59","14","2","0","0","0","f6ac93d2391f6014b2306378a018b5a228a26e7bea921d67ea778e47d452430a"
"temp_horizon_csharp","source","12 Aug 2016","401","282","18.2","2.7","1","2.00","28.50","129.50","14","SIBConfigControl.Dispose(bool disposing)","3","18","3","1.91","2.00","2","21","258","1","0","0","0","0","0","0","fc08bfa8d21f09fdb67a35804d1dd021170bfbe9ec6f89a390551a3cfb2addbe"
"temp_horizon_csharp","source","12 Aug 2016","238","68","13.9","12.2","1","9.00","1.78","5.33","57","SIBConfigPanel.SetSIBSourceProperty( SIBSourceProperty prop, List<string> sibUnits, bool bReadOnly, bool bUseTrisor, int numOfTrisorSensors)","5","76","4","2.09","2.22","7","13","21","21","6","0","0","0","0","0","a3d08c1bcda1b78bd33bd542cd02e2a172a24d3e43520062a466a6f8d4dc8c00"
"temp_horizon_csharp","source","12 Aug 2016","68","26","17.6","16.2","1","2.00","2.50","10.00","14","SIBConfigPanel.Dispose(bool disposing)","3","18","3","1.73","2.00","2","4","19","1","0","0","0","0","0","0","9352b740044afba581c5531ef8de62c05f01d205dc153f01b1e4179d4208f474"
"temp_horizon_csharp","source","12 Aug 2016","659","282","10.6","11.5","1","16.00","3.50","15.63","468","SibSourcePanel.ConvertUShorttoADCWordRate(ushort rate)","18","595","6","2.66","6.00","9","23","93","95","56","4","2","0","0","0","819f80fa8cbc23c348eb1a5b18edfc0c7e8597fa7b42cc364a735c6f8ef77f9b"
"temp_horizon_csharp","source","12 Aug 2016","163","106","23.9","2.5","1","1.00","17.00","92.00","12","SibSourcePanel.InitializeComponent()","1","14","2","1.85","1.00","2","12","92","0","0","0","0","0","0","0","7d59d39769788999577f7651c2a8bb2bc8bb4e0a8fbb3ac21db88132300bdc12"
"temp_horizon_csharp","source","12 Aug 2016","992","415","11.6","8.1","1","35.00","4.34","10.40","364","SourceDefPanel.comboBox_NavName_SelectedIndexChanged(object sender, EventArgs e)","10","262","6","2.57","3.94","7","42","167","123","60","14","2","0","0","0","800b2e12e470c29c174e0fc974d70e2f1b3e97de788021a250d98a00731985ad"
"temp_horizon_csharp","source","12 Aug 2016","261","175","21.5","4.2","1","2.00","13.00","78.00","14","SourceDefPanel.Dispose(bool disposing)","3","18","3","1.89","2.00","2","17","155","1","0","0","0","0","0","0","b43fcd47e5a922d9137151864fa4efb5b3c9e367e15dc8daf81b237d212052d0"
"temp_horizon_csharp","source","12 Aug 2016","766","339","5.7","3.1","1","29.00","2.97","9.97","263","SourcePanel.OnSurveyListEvent(object sender, SurveyListEventArgs e)","26","309","7","2.91","4.86","10","37","106","74","68","24","16","4","0","0","0a709c4306d35991386942ddba071582338b3e43fae5c054c387df5c5c298c2f"
"temp_horizon_csharp","source","12 Aug 2016","50","15","14.0","22.0","1","2.00","2.00","5.00","14","SourcePanel.Dispose(bool disposing)","3","18","3","1.60","2.00","2","3","9","1","0","0","0","0","0","0","f018c39566e59ade8c9e187cce952bc2283c65f18c577cd7d9925d66f1c01563"
"temp_horizon_csharp","source","12 Aug 2016","573","266","7.2","0.0","7","2.57","4.67","12.78","373","NewSourceParamSaveHelper.SaveAcqParam(SeismicProject project, SurveyItem item, SourceDefPanel control, SurveyCreationHelper helper, bool bRealTimeBackup, string unitSystem, out int nNumSensors)","14","67","4","2.21","4.89","18","18","134","82","14","0","0","0","0","0","fd51e3904924cead05ed9d2b73282e7e62a79ac093cc6fb00b5e042c4ffaa97a"
"temp_horizon_csharp","source","12 Aug 2016","219","86","7.3","5.0","1","17.00","1.18","3.59","25","SummaryPanel.comboBox_Objectives_SelectedIndexChanged(object sender, EventArgs e)","4","161","4","2.01","1.71","5","17","37","26","1","0","0","0","0","0","30f8359dae402f194b229849624b8bdf078e8b56bdd1a0ab8396a31667b3194c"
"temp_horizon_csharp","source","12 Aug 2016","139","81","20.9","7.9","1","2.00","5.50","35.00","14","SummaryPanel.Dispose(bool disposing)","3","18","3","1.85","2.00","2","9","69","1","0","0","0","0","0","0","223af126c1dbc3913c5b27824f49eaf5608ce7b5e5d981d08647b0c58455f5c1"
"temp_horizon_csharp","source","12 Aug 2016","429","216","11.7","7.5","1","10.00","4.30","18.70","94","SurveyChainApplier.ApplySourceParamToChain(SeismicSurvey survey, SourceProperty srcProp)","10","352","5","2.36","5.40","11","18","112","35","38","2","0","0","0","0","2d07e199493761dcd9fde28271ab71149dd814d1a9886ce0a4afa955d4f3adf3"
"temp_horizon_csharp","source","12 Aug 2016","997","451","4.0","2.1","1","65.00","1.86","5.46","499","SurveyManagerModel.InitSIBSourceProperty(SourceProperty prop, float listeningTimeMS, SourceControlType type, List<SIBClient> listSIB, out string szError )","16","847","7","2.31","2.68","13","68","198","125","38","6","2","1","0","0","985d81ad3277c518f85cb6664c57b377902e7e3e2b439863116d578249a2ea18"
"temp_horizon_csharp","source","12 Aug 2016","363","141","1.1","1.7","9","3.56","0.28","1.81","281","SurveyManagerObserver.NotifyEvent(SurveyManagerEventArgs.SurveyEventType type, object sender)","7","273","5","1.77","1.53","14","55","35","27","6","4","0","0","0","0","d4812d58a17cea49520e957e80b3d2f198760316ae6764cb7e15f1b82ef7f365"
"temp_horizon_csharp","source","12 Aug 2016","1254","438","18.7","6.2","1","30.00","5.30","12.87","467","SurveyParamPanel.SingleSourceAcqParamLoad(SurveyItem item)","23","1087","7","2.72","4.50","14","38","142","154","61","14","10","5","0","0","450943e626645b5b178134f35143b55cde38695c5df796ece1ddfdef9a8c740a"
"temp_horizon_csharp","source","12 Aug 2016","263","153","30.8","4.2","1","2.00","14.50","67.50","14","SurveyParamPanel.Dispose(bool disposing)","3","18","3","1.88","2.00","2","16","134","1","0","0","0","0","0","0","be312d977c91c0f5a9a21caff5f78fac65d6ae7038ecdec1cf28a82dc472642e"
"temp_horizon_csharp","source","12 Aug 2016","388","120","11.1","17.5","1","14.00","2.21","6.93","111","TrisorAcqParamPanel.SetTrisorAcqParam(TrisorAcqParam param)","7","93","3","2.12","2.21","5","18","55","42","0","0","0","0","0","0","0e489a70f3f4cc643ea553e6f135493dbf2bf98bcc2325d3bbee3ea4fb9a585c"
"temp_horizon_csharp","source","12 Aug 2016","329","222","23.1","3.3","1","2.00","17.50","98.50","14","TrisorAcqParamPanel.Dispose(bool disposing)","3","18","3","1.88","2.00","2","23","196","1","0","0","0","0","0","0","fb0de2f94988db6fd0beeeafb4c093e73e20d0418a60f03588db571bfbe721df"
"temp_horizon_csharp","source","12 Aug 2016","193","56","7.8","20.2","1","12.00","1.42","2.75","164","TrWithAddSensorSourcePanel.OnTrisorSourceChecked(object sender, EventArgs e)","3","160","3","1.50","1.25","7","16","31","2","0","0","0","0","0","0","825a7e12825f00feb1697da7288707f1a3965c886a40dc2b4754ec0a3d5e184f"
"temp_horizon_csharp","source","12 Aug 2016","57","16","19.3","19.3","1","2.00","2.00","5.50","14","TrWithAddSensorSourcePanel.Dispose(bool disposing)","3","18","3","1.63","2.00","2","3","10","1","0","0","0","0","0","0","1119c479daa8e93cda83b84e09fc12d8d05f94ab0aa93edea1df30d4984f83c1"
"temp_horizon_csharp","source","12 Aug 2016","39","12","10.3","15.4","1","2.00","0.00","1.00","23","VSIAppInfo.RealTimeBackup.get()","1","24","3","1.08","1.00","5","3","2","2","0","0","0","0","0","0","01d70467903fddb803a22981ed1678904a31741b9d0a227a5c5fa7873caa5d42"
"temp_horizon_csharp","source","12 Aug 2016","245","115","6.9","9.8","1","6.00","7.00","17.00","108","WSAMAcqParamPanel.OnDataChange(object sender, System.EventArgs e)","13","120","5","3.31","4.67","5","8","28","16","21","37","0","0","0","0","806bb7b17fc4eb765c329935319ae4849caffd34192219d7965de70fc0942b5e"
