Project Name,Checkpoint Name,Created On,EncodedFileName,Lines,Statements,Percent Comment Lines,Percent Documentation Lines,"Classes, Interfaces, Structs",Methods per Class,Calls per Method,Statements per Method,Line Number of Most Complex Method*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
temp_horizon_csharp,source,20-Dec-16,cc845476b160b15e28588abf8139c48e7ef3818e8ab5e331e6f89c39dc9eb449,59,36,0,0,1,3,2.33,7.33,16,3,28,4,1.67,2,10,4,11,10,1,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,34f5c377b08873ec7096e4658e1667ca31fa522b377287168589b97e62e4ebec,150,77,1.3,0,1,7,8.14,8.43,80,5,37,3,1.78,2.43,11,7,47,12,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,257838390e78ba44f45926c1963b6772f9999897e5ef26f6e592a087fff98432,37,16,45.9,0,0,0,0,0,,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,77ae3572998868e22978f20d784809ca638a03f4bd4d2889fb9cdd2b09358663,33,31,0,0,4,2,0,0,9,1,9,2,1.29,1,7,8,16,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,c6247c65c6c95a9e3c81aed22c03aa5cc4cf749df7730dc775df6e2cd714b0fa,36,15,47.2,0,0,0,0,0,,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,b2d4ae3ed0cec479743705ab4bae7c111a5722bb685485aa794a2daae7406e61,14,9,0,0,1,0,0,0,,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,c87051c842eb57703168560475752b2b550f52368b17c7fe647260bff715eeda,55,20,0,0,2,3,1.5,0.83,11,1,13,2,0.85,1,8,7,5,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,219103d2a92b2fff959bb102c888da906152eb7cda82c28ff0ad366b16c26a2e,105,53,0,0,1,7,3.29,4.29,29,3,37,5,2.08,1.86,10,7,13,16,6,1,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,ac25ce232588250ec77d35c190396e46edd4bcf4f2fb07315d2d8470312d7708,186,131,14.5,5.4,1,2,12.5,59,13,3,17,3,1.89,2,2,11,117,1,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,2f7a70eb81b13352dafdb748793712b9a930d6b791ae30c6725ebda433cf9843,35,14,48.6,0,0,0,0,0,,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,8da7fcdd1ce50bd48244fc2f3f745ea6a80db04d923cbcc5916b016346c7861a,276,171,0,0,2,8,7.19,8.25,223,11,244,6,2.21,3,13,20,87,32,10,6,3,0,0,0
temp_horizon_csharp,source,20-Dec-16,54c789afa8a7a0f59d62e5a500955b15fabd180f5d2e033b1652803eed4b1d40,234,156,0,0,1,16,3.81,7.81,95,9,39,4,1.99,3,8,23,94,25,6,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,b0b8d090b26498f27b6b13a71cf1431709d9200189adcd425cfcf4f92ef348ee,287,179,23,3.8,1,2,13,77,16,3,20,3,1.85,2,3,22,153,1,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,d27ffe83b0803eab4cf39326f110e02cdf06db6958c8dbfaef67417c7e21fa78,19,9,0,15.8,1,1,3,3,12,1,14,2,0.89,1,4,2,3,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,f5fb1d3edd7dcdb59ba2d487fe247895bb9eee8ebe33a452d03753d3e45a7045,36,15,47.2,0,0,0,0,0,,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,18a106a6cd0245df3dd0ae1f80140e3c50c5c3b7b9f59315d55fe19e043d2eca,107,42,44.9,0,1,1,28,31,14,11,27,5,2.45,11,10,1,7,10,12,2,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,14cb56189bbd4c032611bb7931ceb6089d490db7934dbddd47110095f3786496,35,14,48.6,0,0,0,0,0,,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,1a66aa6e5a6ea6a0ef6fcc0ac13b6475f45642824afe1ae837fe9db0655de46d,221,175,0.5,0,1,8,17.5,18.75,94,6,104,4,2.22,3.56,11,13,95,38,18,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,cda9d1baf18f4c856a477b5efb1b3bcfded4337787096e642a58a0375ba4240b,53,54,0,0,4,3.5,0,0.29,9,1,9,2,1.33,1,8,20,26,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,963c3c7638434d5ed80fb7fcad6ff761a09438de7191b0aa7aa7a2d4ab4c6f31,36,15,47.2,0,0,0,0,0,,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,2f17d925fc16c207243845dd48db66654c1e7fa27e72b7207937cb9d3f2dfbc0,256,163,3.1,0,1,12,5.83,11.75,47,8,35,6,2.28,4.17,10,12,88,38,8,5,2,0,0,0
temp_horizon_csharp,source,20-Dec-16,0402edbf2663ae15da631f1e8181e8b054bb9b25c594090c182a8684603c06f0,11,12,0,0,1,3,0,0,7,1,7,2,1.25,1,3,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,5311035cd1cb95097cb1d71ded95103ab1ec47b83ba98eeb571862d4a7eeda74,62,39,0,0,2,2,3.75,5.25,36,5,30,4,1.97,1.83,9,3,10,14,3,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,17032c10481d889f4b38d26266ae4df338ea3fca674a88c09e4f0e2e912807c0,10,9,0,0,1,2,0,0,7,1,7,2,1.11,1,3,2,4,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,ee0c4df8ab3bfdcd7659750708c8e6fec0d5546df79ecaeb8d120b75b0316f5d,185,131,0,0,1,8,9.25,14.13,70,18,41,4,2.29,6.38,10,8,61,38,14,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,f8696129ff7029d09f1cedf8be6319fa701ed87d9e58504ad828caa8a198a8e3,9,11,0,0,1,3,0,0,5,1,5,2,1.36,1,2,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,6b6cbcad7d1cf1048a9184c71d312d4e4b512c7e767c8679bb276cf30dbcf395,185,118,0,0,1,7,7.14,14.14,68,9,87,5,2.55,5.43,12,7,38,30,27,4,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,1fd790c1cf30a572bddc5a711cc333fa5bdeaa18b2ac4d8b45945e093c24f59d,15,16,0,0,1,3,0,0,11,1,11,2,0.94,1,7,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,2244312001ecdb5a9c354479b147c7b48bd27156efbe49186f37179a4bb4c6df,202,132,0,0,1,10,7,11.2,61,16,156,5,2.64,6.2,10,10,29,53,28,2,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,bf148e2cf5ecad8536333da09525ff2b717ac7bf20c0ec833b620487dcc947cb,14,11,0,0,1,1,0,0,12,1,12,2,0.45,1,8,1,2,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,26f08910865e0c4cb8d9d232ec4ab73ca7bd1658f02707c49904c049c5109d15,278,193,0,0,2,7,7,11.29,148,18,48,5,2.48,5,12,11,73,73,18,6,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,a46632cc479a067b263d40ae6ad229ab8429d2d94687bd403f675e8ba83652a1,11,12,0,0,1,3,0,0,7,1,7,2,1.25,1,3,3,6,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,5a6b183e70385563b83320332dc8cb75ecaebb19643f0e2713e537f7ead0a9b0,173,115,0.6,0,1,7,9.14,13.86,62,13,81,5,2.7,6.71,11,7,22,44,27,4,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,5fa3ffcacada92bc1dffdf39b76372e2e6eab7ef9de36bca738d650628279baa,14,11,0,0,1,1,0,0,12,1,12,2,0.45,1,8,1,2,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,3b9414ad07f5c2116aa58964a3e911abbfa5aa21e3d0d854163abd98a926e593,10,9,0,0,1,2,0,0,7,1,7,2,1.11,1,3,2,4,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,d14b1219d0057c84d4fa39748e96434c45a520cdcfa59e2c2158b9b3229e655d,191,115,0,0,1,10,7.1,9.3,16,11,36,7,2.65,3.8,12,10,41,25,10,7,7,3,0,0
temp_horizon_csharp,source,20-Dec-16,8a91fc1ce0d4c85aaac62bc4060dbfb246fc15a523e45fef9317aef03fac2d43,36,15,47.2,0,0,0,0,0,,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,32fdd1e32c4ec83b0a5bf161ae2ed7fc044d48f48c01107fc2f215bbcea688ce,266,79,0,0,2,3.5,3.14,6.86,256,3,252,3,1.54,1.29,16,11,45,7,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,18e106f1e18729e5fcb563b4637b038e7065b05d04cc487d2f053b4239308eb2,81,50,0,0,2,3,3.83,4.33,71,3,67,3,1.54,1.33,10,10,23,7,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,62de8e028d050500fc3a5081d4b3d660087c70b1df0e29b8275b342259162454,99,62,0,0,2,3,4,6.5,89,3,85,3,1.66,1.33,9,10,36,7,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,bc585f034f64ef5ef5d490d884c71f1c84d2f6490ecb6eb85f01b2be18150baf,282,123,2.8,0,2,6.5,7.85,6.46,21,5,52,4,2.06,1.85,16,20,32,51,4,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,17d023f5ee56c6870128634310804f936c5fa0648e2a9580927bb1cdbfb3ce2f,83,51,0,0,2,3,3.5,4.67,73,3,69,3,1.59,1.33,9,10,25,7,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,8d5e0539f5baaece5ba9f6c2583bf237426c1f4b6a34a7f7291b6ec8149f5936,219,141,2.3,0,2,7.5,7,6.47,209,3,205,3,1.67,1.13,13,27,94,7,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,87e3c5a18e65944352144b36af4a6edcfadac6222375eb1c98091251d78d40ae,118,72,0,0,2,5,3.7,4,108,3,104,3,1.57,1.2,10,18,37,7,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,c9d5f1e5cebcb8e53b824f0223e15236aed1390d8b00b12ede833b6b03ab8e96,129,63,1.6,0,2,4,5.5,4.75,22,14,27,3,1.78,2.88,10,11,25,17,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,8776595c910217f5fca9b6c83c599906de97d2d441d026535287830d50391917,36,15,47.2,0,0,0,0,0,,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,ecddd9a529f81b5e2f565308424f87bb7056e5d7789c2d2022f3fb764e847dff,135,94,0,0,1,6,8.5,12.5,35,6,69,4,1.93,3.33,12,7,53,20,2,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,4e3d10bd4f932bc3f65b260cb825b3482bd8c00cbaabc6d366e6fbdd49a904be,17,27,0,0,1,8,0,0,7,1,7,2,1.48,1,3,8,16,0,0,0,0,0,0,0
temp_horizon_csharp,source,20-Dec-16,bef25e521185b8dce309ab5be34ae01745406624fa2e4b765add1bd260d43307,441,228,1.1,0,3,4.33,9.85,14.38,108,17,59,6,2.42,6.08,11,16,108,61,25,6,1,0,0,0
