File,CID,Severity,Checker,Status
/Maxwell/Main/HzFramework/Execution/FrameworkTasks/AcqTasks/DnMDepthImportConfigureTask.cpp,13319,Unspecified,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzFramework/Execution/FrameworkTasks/AcqTasks/StationTask.h,13322,Unspecified,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzFramework/Execution/TaskRunManagers/RecomputationUtility.cpp,13328,Unspecified,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzProducts/Editors/DataCentral/Composer/gTest/Composer_GTest/ComposerImplTest.cpp,13346,Unspecified,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzSysApps/Ensembles/AutoTest/WSD/LocalComputation/LocalComputationModuleTest.cpp,13438,Unspecified,COM.BSTR.CONV,Dismissed
/Maxwell/Main/HzApplications/NEXT/FirmwareDownload/NEXT_FirmwareData.cpp,13482,Minor,CONSTANT_EXPRESSION_RESULT,Dismissed
/Maxwell/Main/HzApplications/PEX/HILT/HMCA/HmcaSimulation/HiltSimModule.cpp,13483,Unspecified,CONSTANT_EXPRESSION_RESULT,Dismissed
/Maxwell/Main/HzApplications/Sonic/Dstc/Dstc/SonicDstcUtility.cpp,13489,Unspecified,CONSTANT_EXPRESSION_RESULT,Dismissed
/Maxwell/Main/HzApplications/Sonic/Dstc/Dstc/SonicDstcUtility.cpp,13490,Unspecified,CONSTANT_EXPRESSION_RESULT,Dismissed
/Maxwell/Main/HzApplications/SSLT/Simulation/SsltAcqSimCommonSendData.cpp,13491,Unspecified,CONSTANT_EXPRESSION_RESULT,Dismissed
/Maxwell/Main/HzApplications/TALN/FTPO/FTPO_GTest/StubTestFTPO.h,13541,Unspecified,CTOR_DTOR_LEAK,Dismissed
/Maxwell/Main/HzApplications/TALN/FTPO/FTPO_GTest/StubTestFTPO.h,13542,Unspecified,CTOR_DTOR_LEAK,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/include/sstream,13549,Unspecified,CTOR_DTOR_LEAK,Dismissed
/Maxwell/Main/HzApplications/FT/Sensors/Optics/Calibration/OpticsSeqModule_UploadCaliHistoryBase.h,13595,Minor,DEADCODE,Dismissed
/Maxwell/Main/HzApplications/TALN/MasterController/Acquisition/MasterControllerBusMasterBase.cpp,13670,Unspecified,DEADCODE,Dismissed
/Maxwell/Main/HzApplications/TALN/MasterController/ToolControl/MasterControllerSeqModule.cpp,13671,Unspecified,DEADCODE,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/atlcom.h,13719,Unspecified,DEADCODE,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/atlenc.h,13720,Unspecified,DEADCODE,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/atlutil.h,13722,Unspecified,DEADCODE,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/statreg.h,13723,Unspecified,DEADCODE,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/statreg.h,13724,Unspecified,DEADCODE,Dismissed
/Program Files (x86)/Microsoft Visual Studio 12.0/VC/atlmfc/include/statreg.h,13725,Unspecified,DEADCODE,Dismissed
