"fileName","count"
"HzSysApps\Ensembles\UIs\DepthCorrection\PipeTallyCorrection\PipeTallyCorrectView.cs","1"
"HzFramework\Execution\ExecutionManager\ExecutionMgr.cpp","8"
"HzProducts\Editors\WellboreEditor\CasingModel.cs","2"
"HzProducts\GenericComponents\ParameterAccessLayer\GenericEditor.cs","3"
"HzProducts\Managers\RunManager\RunManagerUI\RunManagerController.cs","1"
"HzProducts\Tasks\CmdHandlerViewerTask.h","4"
"HzProducts\MaxShell\Util\SessionInfo.cs","12"
"HzFramework\Dex\Common\DexOriginDscReader.cpp","1"
"HzProducts\Managers\SurveyMgr\SurveyManagerUI\SurveyAcceptedUI.cs","3"
"HzProductsAPI\GCFramework\DataBrowser\TestDataBrowser\CallingUI.cs","4"
"HzSysApps\Ensembles\Borehole\BH_DfModuleDiameter.cpp","4"
"HzProducts\Editors\RecordedMode\RecModeCalibrationReportHost.cs","1"
"HzFramework\Execution\EnsembleManager\UIResourceMgr.h","1"
"HzProducts\GenericComponents\ParameterAccessLayer\SlbPALEquipmentParameterLoader.cs","1"
"HzProducts\Editors\DataCentral\Composer\DataRepository.cpp","2"
"HzProducts\Editors\Recomputation\FullRecomputeHelperUI.cs","11"
"HzProducts\Editors\TimeDepth\SelectRunUIP.cs","1"
"HzProducts\Editors\TimeDepth\DnMAcqConsoleTDP.cs","1"
"HzProductsAPI\GCFramework\DataBrowser\Helpers\DataExpUtility.cs","2"
"HzProducts\Editors\GraphicPassManager\PassDefinePlugIn.cs","3"
"HzFramework\Common\ToolString\ToolStringHandler\ToolContainer.cpp","1"
"HzProducts\Editors\RecordedMode\SlbTimeDepthFileUI.cs","3"
"HzSysApps\Ensembles\Borehole\BH_DfModuleGTEM.cpp","4"
"HzFramework\Dex\WITSML\WitsmlWriter2\LogProperties.cs","1"
"HzProducts\Managers\DigitalDeliverableWriter\DigitalDeliverableWriter.cs","1"
"HzFramework\Execution\EnsembleManager\TaskMgr.cpp","12"
"HzProducts\Controls\Wafe\UI\LogUIP.cs","5"
"HzProducts\Controls\EquipmentPictureControl\EquipmentPictureControl.cs","20"
"HzProducts\Editors\WellboreSketch\SketchHost.cs","1"
"HzSysApps\Ensembles\WSD\WSDRun_EnsAppl.cpp","5"
"HzProducts\Editors\Recomputation\RecomputeControlUIP.cs","4"
"HzProducts\UIServers\AcqCalibUIServer.cpp","2"
"HzProducts\Editors\TimeDepth\SelectStartPointUIP.cs","2"
"HzProducts\Editors\TimeDepth\ImportPipeTallyUI.cs","1"
"HzProducts\Managers\DnIInits\Helper\WorkflowHelper.cs","3"
"HzSysApps\Ensembles\Borehole\BH_DfModuleTemperature.cpp","1"
"HzProducts\Editors\TimeDepth\SelectDisplayOptionsUIP.cs","2"
"HzFramework\Acquisition\DataPump\WLDataPump.cpp","6"
"HzProducts\GenericComponents\ParameterAccessLayer\SlbToolFilterControl.cs","1"
"HzProducts\Managers\SurveyMgr\SurveyManagerUI\SM.cs","2"
"HzFramework\DataStore\Databases\HzDB\AuxEquipCatalogLoader\CatalogLoader.cs","4"
"HzProducts\Editors\DataCentral\Merge\MergeComposer\MergeComposerImpl.cpp","2"
"HzAPI\BaseImpl\ToolImpl.cpp","1"
"HzFramework\Execution\TaskRunManagers\RecomputationAnalyst.cpp","6"
"HzProducts\Managers\DnIInits\Model\DnIInitsDataHelper.cs","6"
"HzProducts\GenericComponents\ParameterAccessLayer\ZoneEditorControl.cs","4"
"HzProductsAPI\WorkflowConfigManager\SessionWellServices.cs","2"
"HzProducts\UIServers\SpliceMgrUIS.cpp","1"
"HzFramework\Execution\TaskRunManagers\AccumTaskRunManager.cpp","1"
"HzFramework\Common\ToolString\ToolStringHandler\ConnectedEquipments.cpp","1"
"HzSysApps\Ensembles\AuxiliaryEquipment\AuxEquipmentImpl.h","4"
"HzFramework\DataStore\Clients\BulkData\Test\BulkDataStoreContextManager.cpp","1"
"Based on changeset 87203","1"
"HzProducts\GenericComponents\ParameterAccessLayer\SlbPALParameterCODEC.cs","2"
"HzFramework\DataModel\SlbLAP.cpp","3"
"HzProducts\Viewers\Deliverables\EditorLAS\DigitalLasTemplateProperty.cs","1"
