File,LOC,Coverage
hzproductsapi\gcframework\gcuibase\datamodel\graphicalcomponent.cs,12,0
hzproductsapi\gcframework\gcuibase\formatschema\graphicalproductcatalogschema.cs,5,0
hzproductsapi\gcframework\gcuibase\gcdatamodel\gccomplexcomponent.cs,37,0
hzproductsapi\gcframework\gcuibase\gcdatamodel\gcrepeatinfocomponent.cs,21,0
hzproductsapi\gcframework\gcuibase\gcdatamodel\gcgraphicalcomponent.cs,8,0
hzproductsapi\gcframework\gcuibase\dscservice\jobmanager.cs,11,0
hzproductsapi\gcframework\gcuibase\gctokenattribute.cs,3,0
hzproductsapi\gcframework\gcuibase\dscservice\cattemplatemanager.cs,15,0
hzproductsapi\gcframework\gcuibase\tableofcontentitem.cs,9,0
hzproductsapi\gcframework\gcuibase\dscservice\gcdelivtempdscservice.cs,19,0
hzproductsapi\gcframework\gcuibase\complexcomponentcontrollerbase.cs,29,0
hzproductsapi\gcframework\gcuibase\datamodel\jobinfo.cs,1,0
hzproductsapi\gcframework\gcuibase\routines\fileroutine.cs,34,0
hzproductsapi\gcframework\gcuibase\datamodel\pcatdelivtemplateinfo.cs,4,0
hzproductsapi\workflowconfigmanager\workflowconfig.cs,78,42.30769
hzproductsapi\workflowconfigmanager\sessiontypefeatureenabler.cs,33,9.090909
hzproductsapi\workflowconfigmanager\sessionwellservices.cs,27,18.51852
hzproductsapi\workflowconfigmanager\sessionwireline.cs,24,12.5
hzproductsapi\workflowconfigmanager\sessionwirelineperfoexpress.cs,25,12
hzproductsapi\workflowconfigmanager\sessionwirelinerecordedmode.cs,24,12.5
hzproductsapi\workflowconfigmanager\sessiondrilling.cs,23,21.73913
hzproductsapi\workflowconfigmanager\workflowconfigexception.cs,1,0
hzproductsapi\workflowconfigmanager\sessionwirelineall.cs,1,0
hzproductsapi\uiframework\uiimpl\uiimpl.cs,860,9.069767
hzproductsapi\uiframework\uiimpl\uirigtimezoneextension.cs,23,0
hzproductsapi\uiframework\uiimpl\uibase.cs,6,100
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcunitservice.cs,26,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcregion.cs,20,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcrow.cs,16,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcblock.cs,22,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcgridstyleroutine.cs,48,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcposition.cs,5,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcelementanchor.cs,22,0
hzproductsapi\gcframework\gridgcuibase\gridgcuibase.cs,76,14.47368
hzproductsapi\gcframework\gridgcuibase\syncgridgcuibase.cs,35,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcensembleservice.cs,53,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcimagecell.cs,9,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcrowdefintion.cs,5,0
hzproductsapi\gcframework\gridgcuibase\gccomponentlabel.cs,75,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcgrid.cs,21,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcparametertupleservice.cs,30,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gccelldefinition.cs,5,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcregionbuilder.cs,21,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gclocalizationservice.cs,4,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcregiontwocolumnbuilder.cs,11,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcruncollectionservice.cs,22,0
hzproductsapi\gcframework\gridgcuibase\gridcell.cs,62,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcparametertupleproxyservice.cs,11,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcparametesimpleservie.cs,11,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcparameteridentity.cs,7,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gclocalizationslot.cs,8,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcblockbuilder.cs,14,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcregiononecolumnbuilder.cs,10,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcregiondesccolumnbuilder.cs,10,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcrunnoslot.cs,9,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gccellstyle.cs,9,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcemptycell.cs,10,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcequippropservice.cs,20,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcimageslot.cs,11,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gclabelslot.cs,4,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gctextcell.cs,9,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcparameterservice.cs,21,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcregiondefinition.cs,7,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gccellborderdef.cs,27,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcparameterslot.cs,4,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcregionemptycolumnbuilder.cs,11,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gcmultipletitleblockbuilder.cs,9,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gclocalizationemptyservice.cs,1,0
hzproductsapi\gcframework\gridgcuibase\gcgridframework\gccollectionservicefactory.cs,4,0
hzproducts\viewers\deliverables\coverpage\headerproperty.cs,748,6.149733
hzproducts\viewers\deliverables\coverpage\opheader.cs,1609,2.983219
hzproducts\viewers\deliverables\coverpage\headeruip.cs,1261,10.30928
hzproducts\viewers\deliverables\coverpage\imagecellrenderer.cs,370,0
hzproducts\viewers\deliverables\coverpage\coiledtubing.cs,39,35.89743
hzproducts\viewers\deliverables\coverpage\logservice.cs,48,0
hzproducts\viewers\deliverables\coverpage\parameterlistbuilder.cs,64,0
hzproducts\viewers\deliverables\coverpage\drawstyle.cs,44,0
hzproducts\viewers\deliverables\coverpage\row.cs,8,0
hzproducts\viewers\deliverables\coverpage\imagecellmodel.cs,52,0
hzproducts\viewers\deliverables\coverpage\element.cs,24,0
hzproducts\viewers\deliverables\coverpage\wellpropertiestab.cs,24,0
hzproducts\viewers\deliverables\coverpage\block.cs,12,0
hzproducts\genericcomponents\slbgrid2\slbradiobutton.cs,161,1.863354
hzproducts\genericcomponents\slbgrid2\slbgriddataboundgridcontrol2.cs,302,0
hzproducts\genericcomponents\slbgrid2\slbgridcontrol2.cs,281,24.91103
hzproducts\genericcomponents\slbgrid2\slbdatetimepickercell.cs,104,1.923077
hzproducts\genericcomponents\slbgrid2\slbdropdowngridcell.cs,55,0
hzproducts\genericcomponents\slbgrid2\slblabelcell.cs,24,0
hzproducts\genericcomponents\slbgrid2\slbellipsiscell.cs,46,4.347826
hzproducts\genericcomponents\slbgrid2\slbsublabelcell.cs,14,0
hzproductsapi\gcframework\graphicallocalization\localizationhelper.cs,13,46.15385
hzframework\dex\common\dotnet\slbabstractdatareader.cs,37,5.405406
hzframework\dex\common\dotnet\lasdefinitions.cs,918,5.991285
hzframework\dex\common\dotnet\dlislogicalfilemap.cs,37,0
hzframework\dex\common\dotnet\hashtablelist.cs,33,15.15152
hzframework\dex\common\dotnet\dexeventargs.cs,12,58.33333
hzframework\dex\common\dotnet\slbdexdocumentfolder.cs,95,6.31579
hzframework\dex\common\dotnet\dexrigtimehelper.cs,6,0
hzframework\dex\common\dotnet\slbdexthreadmanager.cs,30,20
hzframework\dex\common\dotnet\dlistoolstring.cs,62,0
hzframework\dex\common\dotnet\dscdocinfo.cs,58,0
hzframework\dex\common\dotnet\dextimehelper.cs,63,0
hzframework\dex\common\dotnet\commondatatypes.cs,116,0
hzframework\dex\common\dotnet\dexosddconverter.cs,214,0
hzframework\dex\common\dotnet\dexwriterconfigurespec.cs,5,0
hzframework\dex\common\dotnet\laschannelinterpolation.cs,105,0
hzframework\dex\common\dotnet\geomagmodelbuilder.cs,13,0
hzframework\dex\common\dotnet\dexgatingconfiguration.cs,32,0
hzframework\dex\common\dotnet\digitaldeliverablemessagelogger.cs,11,0
hzframework\dex\common\dotnet\witsmldexeventargs.cs,1,0
hzframework\dex\common\dotnet\invalidargumentexception.cs,2,0
hzframework\dex\common\dotnet\logicalfiledatatable.cs,15,20
